100,000_More_COVID_Deaths-1|the United States can expect to see nearly 100,000 more covid-19 deaths
100,000_More_COVID_Deaths-2|by December 1st
100,000_More_COVID_Deaths-3|unless people change their actions
100,000_More_COVID_Deaths-4|that estimate comes from the nation's most
100,000_More_COVID_Deaths-5|closely-watched
100,000_More_COVID_Deaths-6|prediction model
100,000_More_COVID_Deaths-7|Health experts say the number of deaths
100,000_More_COVID_Deaths-8|could be cut in half
100,000_More_COVID_Deaths-9|if nearly everyone wore a face covering in public spaces
100,000_More_COVID_Deaths-10|these predictions show that what happens with coronavirus infections this fall
100,000_More_COVID_Deaths-11|depends
100,000_More_COVID_Deaths-12|on human behavior
100,000_More_COVID_Deaths-13|says Lauren Ansell Meijer
100,000_More_COVID_Deaths-14|she is director of the University of Texas
100,000_More_COVID_Deaths-15|covid-19 modeling Consortium
100,000_More_COVID_Deaths-16|we cannot stop Delta she said
100,000_More_COVID_Deaths-17|but we can change our Behavior overnight
100,000_More_COVID_Deaths-18|that means wearing face covering
100,000_More_COVID_Deaths-19|limiting social Gathering
100,000_More_COVID_Deaths-20|staying home when sick
100,000_More_COVID_Deaths-21|and getting vaccinated
100,000_More_COVID_Deaths-22|those things are within our control Myers said
100,000_More_COVID_Deaths-23|the u.s. is in the middle of its fourth wave of infection
100,000_More_COVID_Deaths-24|the highly contagious Delta variant of the Coronavirus
100,000_More_COVID_Deaths-25|is partly to blame
100,000_More_COVID_Deaths-26|it has caused a sharp rise in cases
100,000_More_COVID_Deaths-27|hospitalizations and deaths
100,000_More_COVID_Deaths-28|and a setback
100,000_More_COVID_Deaths-29|months of progress against the virus
100,000_More_COVID_Deaths-30|in the u.s. deaths are now above 1100 a day on average
100,000_More_COVID_Deaths-31|the number has not been that high
100,000_More_COVID_Deaths-32|since the middle of March
100,000_More_COVID_Deaths-33|expert
12_US_Troops_in_Kabul_Airport_Attack-1|the American Military says 12 service members were killed
12_US_Troops_in_Kabul_Airport_Attack-2|and 15 more wounded
12_US_Troops_in_Kabul_Airport_Attack-3|innotox Thursday
12_US_Troops_in_Kabul_Airport_Attack-4|at the international airport in Afghanistan
12_US_Troops_in_Kabul_Airport_Attack-5|at least 60 Afghans at the Kabul Airport entrance also were killed
12_US_Troops_in_Kabul_Airport_Attack-6|General Kenneth Mackenzie is head of the United States Central Command
12_US_Troops_in_Kabul_Airport_Attack-7|which is leading US forces at the airport
12_US_Troops_in_Kabul_Airport_Attack-8|he said the attacks included two suicide bombings
12_US_Troops_in_Kabul_Airport_Attack-9|followed by mass shootings
12_US_Troops_in_Kabul_Airport_Attack-10|he added that the US will find out who was behind the attacks
12_US_Troops_in_Kabul_Airport_Attack-11|and take action against them
12_US_Troops_in_Kabul_Airport_Attack-12|Mackenzie said American troops are continuing with the mission of evacuating US citizens
12_US_Troops_in_Kabul_Airport_Attack-13|third-country Nationals
12_US_Troops_in_Kabul_Airport_Attack-14|special immigrant Visa holders
12_US_Troops_in_Kabul_Airport_Attack-15|u.s. Embassy staff and Afghans at risk
12_US_Troops_in_Kabul_Airport_Attack-16|he added
12_US_Troops_in_Kabul_Airport_Attack-17|We are continuing to bring people onto the Airfield
12_US_Troops_in_Kabul_Airport_Attack-18|we just brought a number of buses aboard the Airfield
12_US_Troops_in_Kabul_Airport_Attack-19|over the last couple or 3 hours
12_US_Troops_in_Kabul_Airport_Attack-20|the plan is designed to operate under stress
12_US_Troops_in_Kabul_Airport_Attack-21|and under attack
12_US_Troops_in_Kabul_Airport_Attack-22|and we will coordinate to make sure it's safe for American citizens to come to the Airfield
12_US_Troops_in_Kabul_Airport_Attack-23|he sighed
12_US_Troops_in_Kabul_Airport_Attack-24|an Afghan official told the Associated Press
12_US_Troops_in_Kabul_Airport_Attack-25|at least 60 Afghan civilians were also killed at the airport entrance
12_US_Troops_in_Kabul_Airport_Attack-26|emergency an Italian nonprofit group
12_US_Troops_in_Kabul_Airport_Attack-27|said it was treating more than sixty wounded
12_US_Troops_in_Kabul_Airport_Attack-28|at a nearby hospital
12_US_Troops_in_Kabul_Airport_Attack-29|John Kirby is the spokesman for the US Department of Defense
12_US_Troops_in_Kabul_Airport_Attack-30|Kirby said on Twitter that there were two explosions
12_US_Troops_in_Kabul_Airport_Attack-31|one outside the airport's abbeygate
12_US_Troops_in_Kabul_Airport_Attack-32|and the other nearby at Barron Hotel
12_US_Troops_in_Kabul_Airport_Attack-33|Adam Khan and Afghan waiting near the airport's abbeygate
12_US_Troops_in_Kabul_Airport_Attack-34|told the AP that one bomb exploded in a crowd of people near him
12_US_Troops_in_Kabul_Airport_Attack-35|he said several people appeared to have been killed
12_US_Troops_in_Kabul_Airport_Attack-36|and others wounded
12_US_Troops_in_Kabul_Airport_Attack-37|Reuters reported a video by an afghan that shows blood and bodies in a street filled with wreckage
12_US_Troops_in_Kabul_Airport_Attack-38|the second explosion was at or near Baron Hotel
12_US_Troops_in_Kabul_Airport_Attack-39|where many people including Afghans britons and Americans
12_US_Troops_in_Kabul_Airport_Attack-40|gathered in recent days before heading to the airport for evacuation
12_US_Troops_in_Kabul_Airport_Attack-41|the Us and other Western Nations had warned earlier in the day of a possible attack at the airport
12_US_Troops_in_Kabul_Airport_Attack-42|the US Australia Britain and New Zealand advised their citizens not to go to the airport
12_US_Troops_in_Kabul_Airport_Attack-43|Australia's foreign minister said the area was under a very high threat of a terrorist attack
12_US_Troops_in_Kabul_Airport_Attack-44|Islamic State later claimed responsibility for the attack
12_US_Troops_in_Kabul_Airport_Attack-45|a Taliban spokesman said his group strongly condemned Thursday's attack
12_US_Troops_in_Kabul_Airport_Attack-46|the group also said many Taliban fighters
12_US_Troops_in_Kabul_Airport_Attack-47|on guard outside the airport
12_US_Troops_in_Kabul_Airport_Attack-48|were among the wounded
12_US_Troops_in_Kabul_Airport_Attack-49|American forces secured the airport but the Taliban group is controlling the city and the surrounding area
12_US_Troops_in_Kabul_Airport_Attack-50|a crowd of Afghans has been massing outside airport Gates hoping to leave the country
12_US_Troops_in_Kabul_Airport_Attack-51|following the sudden capture of Kabul by the Taliban
12_US_Troops_in_Kabul_Airport_Attack-52|last week hundreds of people ran alongside an American military transport plane
12_US_Troops_in_Kabul_Airport_Attack-53|as it tried to take off
12_US_Troops_in_Kabul_Airport_Attack-54|some climbed onto the sides of the aircraft
12_US_Troops_in_Kabul_Airport_Attack-55|in hopes of finding a way out of the country
12_US_Troops_in_Kabul_Airport_Attack-56|the US and Western countries have removed nearly 100,000 people from Afghanistan in the past 12 days
12_US_Troops_in_Kabul_Airport_Attack-57|most are Afghans who worked with the countries
12_US_Troops_in_Kabul_Airport_Attack-58|the AP reported that evacuation flights
12_US_Troops_in_Kabul_Airport_Attack-59|continued to take off from Cabo airport even as the area was attacked
12_US_Troops_in_Kabul_Airport_Attack-60|President Joe Biden has already ordered American troops to leave by August 31st
12_US_Troops_in_Kabul_Airport_Attack-61|Biden said earlier in the week
12_US_Troops_in_Kabul_Airport_Attack-62|the sooner we can finish the better
12_US_Troops_in_Kabul_Airport_Attack-63|each day of operations brings added risk to our troops
12_US_Troops_in_Kabul_Airport_Attack-64|US Secretary of State Antony blinken said Wednesday
12_US_Troops_in_Kabul_Airport_Attack-65|that there could be as many as 1,500 American passport holders
12_US_Troops_in_Kabul_Airport_Attack-66|waiting for evacuation from Afghanistan
12_US_Troops_in_Kabul_Airport_Attack-67|some countries has already ended their evacuations and begun to withdraw their soldiers and diplomats
12_US_Troops_in_Kabul_Airport_Attack-68|Canadian Forces all take their evacuations of around 3700 Canadian and Afghan citizens on Thursday
12_US_Troops_in_Kabul_Airport_Attack-69|saying they had stayed as long as they could
12_US_Troops_in_Kabul_Airport_Attack-70|Fighters loyal to Islamic state began appearing in eastern Afghanistan at the end of 2014
12_US_Troops_in_Kabul_Airport_Attack-71|Western intelligence Services said the group has a reputation for extreme violence
12_US_Troops_in_Kabul_Airport_Attack-72|they said the group is fighting the Taliban both for ideological reasons
12_US_Troops_in_Kabul_Airport_Attack-73|and for control of local drug industry profits
12_US_Troops_in_Kabul_Airport_Attack-74|I'm Katy Weaver
3000_Eggs_Left-1|some 3,000 turn eggs were abandoned
3000_Eggs_Left-2|out of Southern California nesting Island
3000_Eggs_Left-3|after a drone crashed
3000_Eggs_Left-4|and stared off the birds
3000_Eggs_Left-5|a newspaper reported in June
3000_Eggs_Left-6|in May two drones were flown in illegally
3000_Eggs_Left-7|over the Bolsa Chica
3000_Eggs_Left-8|Ecological Reserve in Huntington Beach California
3000_Eggs_Left-9|one of them went down in the wetlands
3000_Eggs_Left-10|the Orange County register a local newspaper reported
3000_Eggs_Left-11|fearing an attack
3000_Eggs_Left-12|from a predator
3000_Eggs_Left-13|several thousand turns abandoned their ground-based nest
3000_Eggs_Left-14|reported the State's Department of Fish and Wildlife
3000_Eggs_Left-15|usually during June the white birds would be watching their eggs
3000_Eggs_Left-16|as they begin to hatch
3000_Eggs_Left-17|but now the sand is filled with eggshells
3000_Eggs_Left-18|Melissa Lobo
